sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_SUV420H2_1860	SUV420H2	597	251	416	326	492	86
EpiKDlib_FBRSL1_643	FBRSL1	129	66	121	155	114	14
EpiKDlib_RSF1_1600	RSF1	1361	264	1314	538	1270	99
EpiKDlib_USP49_2104	USP49	497	260	325	379	515	170
EpiKDlib_SETD8_1676	SETD8	424	298	414	364	370	124
EpiKDlib_JADE2_857	JADE2	613	250	437	402	570	126
EpiKDlib_IKZF3_821	IKZF3	508	297	400	356	465	125
EpiKDlib_PSIP1_1505	PSIP1	502	571	424	812	550	235
EpiKDlib_KDM5C_948	KDM5C	720	1014	726	1096	785	565
EpiKDlib_KDM3A_922	KDM3A	808	574	631	602	687	218
EpiKDlib_SIN3B_1716	SIN3B	324	15	242	53	261	2
EpiKDlib_NO-TARGET_1193	NO-TARGET	573	282	491	392	481	121
EpiKDlib_SPOP_1808	SPOP	632	27	571	35	757	12
EpiKDlib_INO80_838	INO80	316	253	296	321	362	135
EpiKDlib_NO-TARGET_1208	NO-TARGET	374	181	301	216	414	100
EpiKDlib_SFMBT1_1702	SFMBT1	128	89	127	109	179	34
EpiKDlib_GATAD2A_677	GATAD2A	172	145	97	139	158	50
EpiKDlib_BABAM1_168	BABAM1	801	332	560	422	824	195
EpiKDlib_MEN1_1060	MEN1	297	599	309	922	332	263
EpiKDlib_ZZZ3_2219	ZZZ3	195	105	135	158	194	76
EpiKDlib_FOXO1_648	FOXO1	221	44	122	83	215	28
EpiKDlib_MTA1_1107	MTA1	296	310	217	452	281	155
EpiKDlib_USP11_2071	USP11	531	473	387	363	649	190
EpiKDlib_PHF19_1354	PHF19	353	254	329	277	428	74
EpiKDlib_HDAC9_741	HDAC9	1032	371	751	541	857	243
EpiKDlib_USP15_2077	USP15	641	304	329	521	414	150
EpiKDlib_SIRT7_1729	SIRT7	666	278	443	306	613	132
EpiKDlib_NAP1L4_1142	NAP1L4	521	264	362	263	455	110
EpiKDlib_MOV10_1083	MOV10	514	291	457	394	587	179
EpiKDlib_NO-TARGET_1205	NO-TARGET	368	253	236	277	390	77
EpiKDlib_ZBTB7C_2164	ZBTB7C	446	320	287	335	317	176
EpiKDlib_GSG2_695	GSG2	323	245	344	332	380	107
EpiKDlib_KMT2D_978	KMT2D	876	375	780	499	1010	196
EpiKDlib_EZH2_629	EZH2	54	183	47	287	58	100
EpiKDlib_CUL5_446	CUL5	317	187	229	205	470	85
EpiKDlib_SCML4_1644	SCML4	174	148	222	304	246	67
EpiKDlib_GFI1B_684	GFI1B	530	314	348	293	470	133
EpiKDlib_GADD45B_667	GADD45B	579	504	615	683	897	296
